,A1_cat,A4_cat,A5_cat,A6_cat,A7_cat,A9_cat,A10_cat,A12_cat,A13_cat,A2,A3,A8,A11,A14,A15,A16
98,1,1,0,8,7,1,1,1,0,25.0,12.0,2.25,2,120,5,0
99,1,2,2,6,3,1,1,1,0,27.83,4.0,5.75,2,75,0,0
100,1,1,0,4,8,1,1,0,0,54.83,15.5,0.0,20,152,130,0
101,1,1,0,8,7,1,0,0,2,28.75,1.165,0.5,0,280,0,0
102,0,2,2,0,7,1,0,0,0,25.0,11.0,4.5,0,120,0,0
103,1,2,2,13,3,1,0,1,0,40.92,2.25,10.0,0,176,0,0
104,0,1,0,1,7,1,1,1,0,19.75,0.75,0.795,5,140,5,0
105,1,1,0,12,7,1,1,1,0,29.17,3.5,3.5,3,329,0,0
106,0,2,2,5,2,1,1,0,0,24.5,1.04,0.5,3,180,147,0
107,1,1,0,12,7,1,0,1,0,24.58,12.5,0.875,0,260,0,0
108,0,1,0,8,0,1,1,1,0,33.75,0.75,1.0,3,212,0,0
109,1,2,2,1,3,1,1,1,0,20.67,1.25,1.375,3,140,210,0
110,0,1,0,10,7,1,1,0,0,25.42,1.125,1.29,2,200,0,0
111,1,1,0,10,3,1,1,1,0,37.75,7.0,11.5,7,300,5,0
112,1,1,0,8,7,1,1,0,0,52.5,6.5,6.29,15,0,11202,1
113,1,1,0,9,7,1,1,1,0,57.83,7.04,14.0,6,360,1332,1
114,0,1,0,2,3,1,1,1,0,20.75,10.335,0.335,1,80,50,1
115,1,1,0,10,7,1,1,0,0,39.92,6.21,0.04,1,200,300,1
116,1,1,0,2,7,1,1,1,0,25.67,12.5,1.21,67,140,258,1
117,0,1,0,0,7,1,1,1,0,24.75,12.5,1.5,12,120,567,1
118,0,1,0,10,7,1,1,1,0,44.17,6.665,7.375,3,0,0,1
119,0,1,0,10,7,1,1,1,0,23.5,9.0,8.5,5,120,0,1
120,1,1,0,13,3,1,1,1,0,34.92,5.0,7.5,6,0,1000,1
121,1,1,0,9,0,1,1,1,0,47.67,2.5,2.5,12,410,2510,1
122,1,1,0,10,7,1,1,1,0,22.75,11.0,2.5,7,100,809,1
123,1,1,0,6,0,1,1,0,0,34.42,4.25,3.25,2,274,610,1
124,0,1,0,12,7,1,0,0,2,28.42,3.5,0.835,0,280,0,1
125,1,1,0,4,8,1,1,1,0,67.75,5.5,13.0,1,0,0,1
126,1,1,0,1,7,1,1,0,0,20.42,1.835,2.25,1,100,150,1
127,0,1,0,4,0,1,1,0,0,47.42,8.0,6.5,6,375,51100,1
128,1,1,0,1,0,1,1,0,0,36.25,5.0,2.5,6,0,367,1
129,1,1,0,10,3,1,1,1,0,32.67,5.5,5.5,12,408,1000,1
130,1,1,0,10,3,1,0,1,0,48.58,6.5,6.0,0,350,0,1
131,1,2,2,0,7,1,1,0,0,39.92,0.54,0.5,3,200,1000,1
132,1,1,0,9,7,1,1,0,0,33.58,2.75,4.25,6,204,0,1
133,0,1,0,12,7,1,1,1,0,18.83,9.5,1.625,6,40,600,1
134,0,1,0,10,3,1,1,0,0,26.92,13.5,5.0,2,0,5000,1
135,0,1,0,2,3,1,1,1,0,31.25,3.75,0.625,9,181,0,1
136,0,1,0,7,2,1,1,0,0,56.5,16.0,0.0,15,0,247,1
137,1,2,2,2,3,1,1,0,0,43.0,0.29,1.75,8,100,375,1
138,1,1,0,12,7,1,1,0,0,22.33,11.0,2.0,1,80,278,1
139,1,1,0,2,3,1,1,0,0,27.25,1.665,5.085,9,399,827,1
140,1,1,0,2,3,1,1,0,0,32.83,2.5,2.75,6,160,2072,1
141,1,1,0,10,7,1,1,1,0,23.25,1.5,2.375,3,0,582,1
142,0,2,2,10,3,1,1,0,0,40.33,7.54,8.0,14,0,2300,1
143,0,1,0,1,0,1,1,1,0,30.5,6.5,4.0,7,0,3065,1
144,0,1,0,1,7,1,1,0,0,52.83,15.0,5.5,14,0,2200,1
145,0,1,0,2,3,1,1,1,0,46.67,0.46,0.415,11,440,6,1
146,0,1,0,10,7,1,1,0,0,58.33,10.0,4.0,14,0,1602,1
147,1,1,0,9,3,1,1,1,0,37.33,6.5,4.25,12,93,0,1
148,1,1,0,1,7,1,1,1,0,23.08,2.5,1.085,11,60,2184,1
149,1,1,0,2,3,1,1,1,0,32.75,1.5,5.5,3,0,0,1
150,0,2,2,7,4,1,1,1,0,21.67,11.5,0.0,11,0,0,1
151,0,2,2,13,3,1,1,0,0,28.5,3.04,2.54,1,70,0,1
152,0,1,0,4,8,1,1,0,0,68.67,15.0,0.0,14,0,3376,1
153,1,1,0,8,3,1,1,1,0,28.0,2.0,4.165,2,181,0,1
154,1,2,2,9,0,1,1,1,0,34.08,0.08,0.04,1,280,2000,1
155,1,1,0,13,3,1,1,0,0,27.67,2.0,1.0,4,140,7544,1
156,1,1,0,9,7,1,1,1,0,44.0,2.0,1.75,2,0,15,1
157,1,1,0,13,7,1,1,1,0,25.08,1.71,1.665,1,395,20,1
158,1,2,2,4,3,1,0,1,0,32.0,1.75,0.04,0,393,0,1
159,0,1,0,10,7,1,0,1,0,60.58,16.5,11.0,0,21,10561,1
160,0,1,0,10,3,1,0,0,0,40.83,10.0,1.75,0,29,837,1
161,1,1,0,10,7,1,0,1,0,19.33,9.5,1.0,0,60,400,1
162,0,1,0,2,7,1,0,0,0,32.33,0.54,0.04,0,440,11177,1
163,1,1,0,10,3,1,0,1,0,36.67,3.25,9.0,0,102,639,1
164,1,2,2,3,7,0,0,1,0,37.5,1.125,1.5,0,431,0,1
165,0,2,2,0,7,1,0,1,0,25.08,2.54,0.25,0,370,0,1
166,1,1,0,1,0,1,0,0,0,41.33,0.0,15.0,0,0,0,1
167,1,1,0,8,3,1,0,1,0,56.0,12.5,8.0,0,24,2028,1
168,0,1,0,8,3,1,0,1,0,49.83,13.585,8.5,0,0,0,1
169,1,1,0,10,3,1,0,0,0,22.67,10.5,1.335,0,100,0,1
170,1,2,2,12,7,1,0,1,0,27.0,1.5,0.375,0,260,1065,1
171,1,1,0,0,7,1,0,1,2,25.0,12.5,3.0,0,20,0,1
172,0,1,0,0,7,1,0,0,0,26.08,8.665,1.415,0,160,150,1
173,0,1,0,10,7,1,1,0,0,18.42,9.25,1.21,4,60,540,1
174,1,1,0,0,7,1,1,0,0,20.17,8.17,1.96,14,60,158,1
175,1,1,0,1,0,1,1,0,0,47.67,0.29,15.0,20,0,15000,1
176,0,1,0,6,0,1,1,0,2,21.25,2.335,0.5,4,80,0,1
177,0,1,0,10,7,1,1,0,0,20.67,3.0,0.165,3,100,6,1
178,0,1,0,1,7,1,1,0,0,57.08,19.5,5.5,7,0,3000,1
179,0,1,0,10,7,1,1,0,0,22.42,5.665,2.585,7,129,3257,1
180,1,1,0,1,3,1,1,0,0,48.75,8.5,12.5,9,181,1655,1
181,1,1,0,0,0,1,1,0,0,40.0,6.5,3.5,1,0,500,1
182,1,1,0,1,7,1,1,0,0,40.58,5.0,5.0,7,0,3065,1
183,0,1,0,1,7,1,1,1,0,28.67,1.04,2.5,5,300,1430,1
184,0,1,0,10,3,1,1,0,0,33.08,4.625,1.625,2,0,0,1
185,1,1,0,1,7,1,0,1,0,21.33,10.5,3.0,0,0,0,1
186,1,1,0,6,3,1,0,0,0,42.0,0.205,5.125,0,400,0,1
187,1,1,0,13,7,1,0,0,0,41.75,0.96,2.5,0,510,600,1
188,1,2,2,12,7,1,1,0,0,22.67,1.585,3.085,6,80,0,1
189,1,2,2,6,0,1,1,1,0,34.5,4.04,8.5,7,195,0,1
190,1,2,2,1,0,1,1,1,0,28.25,5.04,1.5,8,144,7,1
191,1,2,2,13,7,1,1,1,0,33.17,3.165,3.165,3,380,0,1
192,1,1,0,12,3,1,1,0,0,48.17,7.625,15.5,12,0,790,1
193,1,2,2,0,7,1,1,1,0,27.58,2.04,2.0,3,370,560,1
194,1,1,0,13,7,1,1,0,0,22.58,10.04,0.04,9,60,396,1
195,0,1,0,10,3,1,1,0,0,24.08,0.5,1.25,1,0,678,1
196,0,1,0,6,0,1,0,1,0,41.33,1.0,2.25,0,0,300,1
197,0,1,0,10,7,1,1,1,0,20.75,10.25,0.71,2,49,0,1
198,1,2,2,12,7,1,1,0,0,36.33,2.125,0.085,1,50,1187,1
199,0,1,0,10,3,1,1,0,0,35.42,12.0,14.0,8,0,6590,1
200,1,1,0,10,3,1,1,0,0,28.67,9.335,5.665,6,381,168,1
201,1,1,0,8,7,1,1,0,0,35.17,2.5,4.5,7,150,1270,1
202,1,1,0,1,0,1,1,0,0,39.5,4.25,6.5,16,117,1210,1
203,1,1,0,2,3,1,1,1,0,39.33,5.875,10.0,14,399,0,1
204,1,2,2,3,7,1,0,1,2,24.33,6.625,5.5,0,100,0,1
205,1,1,0,5,2,1,1,1,0,60.08,14.5,18.0,15,0,1000,1
206,1,1,0,6,7,1,1,0,0,23.08,11.5,3.5,9,56,742,1
207,1,2,2,2,7,1,1,0,0,26.67,2.71,5.25,1,211,0,1
208,1,1,0,0,7,1,0,0,2,48.17,3.5,3.5,0,230,0,1
209,1,1,0,2,3,1,1,0,0,41.17,4.04,7.0,8,320,0,1
210,1,1,0,5,2,1,1,0,0,55.92,11.5,5.0,5,0,8851,1
211,1,1,0,4,7,1,1,0,0,53.92,9.625,8.665,5,0,0,1
212,0,2,2,1,7,1,1,1,0,18.92,9.25,1.0,4,80,500,1
213,0,1,0,0,7,1,1,1,0,50.08,12.54,2.29,3,156,0,1
214,1,1,0,4,8,1,1,1,0,65.42,11.0,20.0,7,22,0,1
215,0,1,0,0,7,1,0,1,0,17.58,9.0,1.375,0,0,0,1
216,0,1,0,0,7,1,0,0,0,18.83,9.54,0.085,0,100,0,1
217,0,1,0,10,7,1,0,1,0,37.75,5.5,0.125,0,228,0,1
218,1,1,0,1,0,1,0,1,0,23.25,4.0,0.25,0,160,0,1
219,1,1,0,8,7,1,0,0,0,18.08,5.5,0.5,0,80,0,1
220,0,2,2,13,7,0,0,0,0,22.5,8.46,2.46,0,164,0,1
221,1,1,0,10,7,1,1,1,0,19.67,0.375,2.0,2,80,0,1
222,1,1,0,2,7,1,0,0,0,22.08,11.0,0.665,0,100,0,1
223,1,1,0,2,7,1,1,0,0,25.17,3.5,0.625,7,0,7059,1
224,0,1,0,13,7,1,1,1,0,47.42,3.0,13.875,2,519,1704,1
225,1,1,0,13,3,1,1,1,0,33.5,1.75,4.5,4,253,857,1
226,1,1,0,12,7,1,0,1,0,27.67,13.75,5.75,0,487,500,1
227,0,1,0,6,0,1,1,0,0,58.42,21.0,10.0,13,0,6700,1
228,0,1,0,10,7,1,1,0,0,20.67,1.835,2.085,5,220,2503,1
229,1,1,0,6,0,1,0,1,0,26.17,0.25,0.0,0,0,0,1
230,1,1,0,0,7,1,1,0,0,21.33,7.5,1.415,1,80,9800,1
231,1,1,0,10,7,1,0,0,2,42.83,4.625,4.58,0,0,0,1
232,1,1,0,13,7,1,1,0,0,38.17,10.125,2.5,6,520,196,1
233,1,2,2,1,7,1,0,0,2,20.5,10.0,2.5,0,40,0,1
234,1,1,0,12,7,1,1,0,0,48.25,25.085,1.75,3,120,14,1
235,1,1,0,12,7,1,0,1,0,28.33,5.0,11.0,0,70,0,1
236,1,1,0,6,7,1,1,0,0,18.5,2.0,1.5,2,120,300,1
237,1,2,2,1,3,1,1,1,0,33.17,3.04,2.04,1,180,18027,1
238,1,1,0,2,3,1,1,1,0,45.0,8.5,14.0,1,88,2000,1
239,0,1,0,10,3,1,1,0,0,19.67,0.21,0.29,11,80,99,1
240,-1,1,0,13,7,1,1,0,0,21.83,11.0,0.29,6,121,0,1
241,1,1,0,4,8,1,1,0,0,40.25,21.5,20.0,11,0,1200,1
242,1,1,0,10,3,1,1,1,0,41.42,5.0,5.0,6,470,0,1
243,1,1,0,13,3,1,1,0,0,17.83,11.0,1.0,11,0,3000,1
244,0,1,0,13,3,1,1,0,0,23.17,11.125,0.46,1,100,0,1
245,1,1,0,1,3,0,0,0,0,18.17,10.25,1.085,0,320,13,0
246,1,1,0,1,7,0,0,1,0,20.0,11.045,2.0,0,136,0,0
247,1,1,0,3,7,0,0,0,0,20.0,0.0,0.5,0,144,0,0
248,1,1,0,6,7,0,0,0,0,20.75,9.54,0.04,0,200,1000,0
249,0,2,2,1,7,0,0,0,0,24.5,1.75,0.165,0,132,0,0
250,0,1,0,3,3,0,0,1,0,32.75,2.335,5.75,0,292,0,0
251,1,2,2,5,2,0,0,0,0,52.17,0.0,0.0,0,0,0,0
252,0,1,0,6,6,0,0,0,0,48.17,1.335,0.335,0,0,120,0
253,0,2,2,13,3,0,0,1,0,20.42,10.5,0.0,0,154,32,0
254,0,1,0,5,2,0,0,0,0,50.75,0.585,0.0,0,145,0,0
255,1,2,2,1,7,0,0,0,0,17.08,0.085,0.04,0,140,722,0
256,1,2,2,4,1,0,0,0,0,18.33,1.21,0.0,0,100,0,0
257,1,1,0,3,7,0,0,0,0,32.0,6.0,1.25,0,272,0,0
258,0,1,0,10,7,1,0,1,0,59.67,1.54,0.125,0,260,0,1
259,1,1,0,10,5,0,0,0,0,18.0,0.165,0.21,0,200,40,1
260,1,1,0,1,7,0,0,1,0,32.33,2.5,1.25,0,280,0,0
261,1,2,2,9,7,0,0,0,0,18.08,6.75,0.04,0,140,0,0
262,1,2,2,8,7,0,0,0,0,38.25,10.125,0.125,0,160,0,0
263,1,1,0,2,3,0,0,1,2,30.67,2.5,2.25,0,340,0,0
264,1,1,0,3,7,0,0,0,0,18.58,5.71,0.54,0,120,0,0
265,1,1,0,6,3,0,0,0,0,19.17,5.415,0.29,0,80,484,0
266,0,2,2,10,3,0,0,0,0,18.17,10.0,0.165,0,340,0,0
267,1,1,0,9,7,1,0,0,2,16.25,0.835,0.085,0,200,0,0
268,1,2,2,1,3,0,0,0,0,21.17,0.875,0.25,0,280,204,0
269,1,2,2,2,3,0,0,0,0,23.92,0.585,0.125,0,240,1,0
270,1,1,0,1,7,0,0,0,2,17.67,4.46,0.25,0,80,0,0
271,1,1,0,10,7,0,1,0,0,16.5,1.25,0.25,1,108,98,0
272,0,1,0,1,7,0,1,0,0,23.25,12.625,0.125,2,0,5552,0
273,1,1,0,12,3,0,1,0,0,17.58,10.0,0.165,1,120,1,0
274,0,1,0,12,7,0,1,0,0,29.5,0.58,0.29,1,340,2803,0
275,1,2,2,1,7,0,1,0,0,18.83,0.415,0.165,1,200,1,0
276,1,2,2,7,4,0,0,0,0,21.75,1.75,0.0,0,160,0,0
277,0,1,0,9,7,0,0,1,2,23.0,0.75,0.5,0,320,0,0
278,1,1,0,12,7,0,1,0,0,18.25,10.0,1.0,1,120,1,0
279,0,1,0,12,7,0,1,0,0,25.42,0.54,0.165,1,272,444,0
280,1,1,0,12,7,0,1,0,0,35.75,2.415,0.125,2,220,1,0
281,1,1,0,5,2,0,1,0,0,16.08,0.335,0.0,1,160,126,0
282,0,1,0,5,2,0,1,1,0,31.92,3.125,3.04,2,200,4,0
283,0,1,0,5,2,0,1,0,0,69.17,9.0,4.0,1,70,6,0
284,1,1,0,0,7,0,1,1,0,32.92,2.5,1.75,2,720,0,0
285,1,1,0,0,7,0,1,0,0,16.33,2.75,0.665,1,80,21,0
286,1,1,0,1,7,0,1,1,0,22.17,12.125,3.335,2,180,173,0
287,1,1,0,5,2,0,1,0,0,57.58,2.0,6.5,1,0,10,0
288,0,1,0,3,7,0,0,1,2,18.25,0.165,0.25,0,280,0,0
289,1,1,0,1,7,0,0,1,2,23.42,1.0,0.5,0,280,0,0
290,1,1,0,10,7,0,0,0,0,15.92,2.875,0.085,0,120,0,0
291,0,1,0,10,3,0,0,0,0,24.75,13.665,1.5,0,280,1,0
292,0,2,2,5,2,1,0,1,0,48.75,26.335,0.0,0,0,0,0
293,1,1,0,5,2,0,0,0,0,23.5,2.75,4.5,0,160,25,0
294,1,1,0,5,2,0,0,0,0,18.58,10.29,0.415,0,80,0,0
295,1,1,0,8,3,0,0,1,2,27.75,1.29,0.25,0,140,0,0
296,1,2,2,7,4,0,0,0,0,31.75,3.0,0.0,0,160,20,0
297,0,1,0,12,7,0,0,1,0,24.83,4.5,1.0,0,360,6,0
298,0,2,2,1,7,0,0,1,0,19.0,1.75,2.335,0,112,6,0
299,1,1,0,0,7,0,0,0,0,16.33,0.21,0.125,0,200,1,0
300,0,1,0,3,7,0,0,0,0,18.58,10.0,0.415,0,80,42,0
301,0,2,2,0,7,0,0,0,0,16.25,0.0,0.25,0,60,0,0
302,1,1,0,9,7,1,0,1,2,23.0,0.75,0.5,0,320,0,0
303,1,2,2,1,3,0,0,0,0,21.17,0.25,0.25,0,280,204,0
304,1,0,1,5,6,0,0,1,1,17.5,22.0,0.0,0,450,100000,1
305,1,2,2,9,0,0,0,1,2,19.17,0.0,0.0,0,500,1,1
306,1,2,2,1,7,0,0,1,0,36.75,0.125,1.5,0,232,113,1
307,1,1,0,12,7,0,0,0,0,21.25,1.5,1.5,0,150,8,1
308,1,0,1,2,2,0,0,1,2,18.08,0.375,10.0,0,300,0,1
309,0,1,0,2,7,0,0,0,0,33.67,0.375,0.375,0,300,44,1
310,0,2,2,8,7,1,1,0,0,48.58,0.205,0.25,11,380,2732,1
311,1,1,0,12,7,0,0,0,0,33.67,1.25,1.165,0,120,0,0
312,1,2,2,13,7,0,0,0,0,29.5,1.085,1.0,0,280,13,0
313,0,2,2,1,7,0,0,0,0,30.17,1.085,0.04,0,170,179,0
314,1,2,2,12,7,0,0,0,2,34.83,2.5,3.0,0,200,0,0
315,1,2,2,1,7,0,0,1,0,33.25,2.5,2.5,0,0,2,0
316,1,1,0,1,7,0,0,0,0,34.08,2.5,1.0,0,460,16,0
317,0,1,0,3,7,0,0,1,0,25.25,12.5,1.0,0,180,1062,0
318,1,1,0,2,0,0,0,0,0,34.75,2.5,0.5,0,348,0,0
319,0,1,0,10,3,0,0,1,0,27.67,0.75,0.165,0,220,251,0
320,1,1,0,1,7,0,0,1,0,47.33,6.5,1.0,0,0,228,0
321,1,2,2,6,3,0,0,1,0,34.83,1.25,0.5,0,160,0,0
322,1,2,2,0,7,0,0,0,0,33.25,3.0,2.0,0,180,0,0
323,0,1,0,12,7,0,0,1,0,28.0,3.0,0.75,0,300,67,0
324,0,1,0,1,7,0,0,0,0,39.08,4.0,3.0,0,480,0,0
325,1,1,0,0,7,0,0,0,0,42.75,4.085,0.04,0,108,100,0
326,0,1,0,6,0,0,0,1,0,26.92,2.25,0.5,0,640,4000,0
327,1,1,0,6,0,0,0,0,0,33.75,2.75,0.0,0,180,0,0
328,1,1,0,8,7,0,0,1,0,38.92,1.75,0.5,0,300,2,0
329,1,1,0,4,8,0,0,0,0,62.75,7.0,0.0,0,0,12,0
330,1,2,2,1,0,0,0,0,0,26.75,4.5,2.5,0,200,1210,0
331,1,1,0,1,7,1,1,1,0,63.33,0.54,0.585,3,180,0,0
332,-1,1,0,12,7,0,1,1,0,27.83,1.5,2.25,1,100,3,0
333,1,1,0,7,4,0,0,1,0,26.17,2.0,0.0,0,276,1,0
334,1,2,2,5,2,0,0,0,0,22.17,0.585,0.0,0,100,0,0
335,1,2,2,9,7,0,0,1,0,22.5,11.5,1.5,0,0,4000,0
336,0,1,0,3,7,0,0,1,2,30.75,1.585,0.585,0,0,0,0
337,1,1,0,6,7,0,0,1,0,36.67,2.0,0.25,0,221,0,0
338,1,1,0,0,7,0,1,1,0,16.0,0.165,1.0,2,320,1,0
339,1,1,0,3,7,0,0,0,0,41.17,1.335,0.165,0,168,0,0
340,1,1,0,10,7,0,0,1,0,19.5,0.165,0.04,0,380,0,0
341,0,1,0,3,7,0,0,1,0,32.42,3.0,0.165,0,120,0,0
342,1,1,0,5,2,0,0,0,0,36.75,4.71,0.0,0,160,0,0
343,0,1,0,8,7,0,0,1,2,30.25,5.5,5.5,0,100,0,0
